"ID","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore","migration_duration","TrainingDuration","MBSupportDuration","MBAssistanceDuration","sex","age","return_country","origin_country","FinancialServices","Training","SocialSupport","MaterialAssistance","MedicalSupport","PsychosocialSupport","MicrobusinessFormOfAssistance"
"LY1021008713",0.5225,0.8525,0.8350000000000001,0.745,1,5,306,63,"Homme",22,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008841",0.6399999999999999,0.53,0.8775,0.7025000000000001,0,0,120,246,"Homme",42,"Libye","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"Ly1021008854",0.845,0.5966666666666666,0.755,0.7408333333333335,36,0,0,0,"Homme",28,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"LY1021008870",0.6075,0.42583333333333334,0.7675000000000001,0.6216666666666667,23,0,119,210,"Homme",23,"Libye","Tchad","No","No","No","No","No","No","KND"
"LY1021008871",0.6625000000000001,0.49333333333333335,0.8274999999999999,0.6716666666666666,1,0,214,115,"Homme",20,"Libye","Tchad","No","No","No","No","No","No","KND"
"LY1021008875",0.42000000000000004,0.5525,0.8075,0.59,31,0,165,164,"Homme",31,"Libye","Tchad","No","No","No","No","No","No","KND"
"LY1021008883",0.5925,0.43583333333333335,0.73,0.5766666666666667,3,0,140,189,"Homme",34,"Libye","Tchad","No","No","No","No","No","No","KND"
"LY1021008884",0.3975000000000001,0.4583333333333333,0.7425,0.5641666666666667,2,0,127,202,"Homme",22,"Libye","Tchad","No","No","No","No","No","No","KND"
"LY1021008886",0.5775,0.5458333333333333,0.7050000000000001,0.6391666666666667,4,0,131,198,"Homme",31,"Libye","Tchad","No","No","No","No","No","No","Unknown"
"LY1021008887",0.6325,0.5258333333333333,0.7825,0.6266666666666667,2,0,130,199,"Homme",25,"Libye","Tchad","No","No","No","No","No","No","KND"
"LY1021008889",0.515,0.5875000000000001,0.8025,0.6325000000000001,2,0,70,259,"Homme",25,"Libye","Tchad","No","No","No","No","No","No","KND"
"LY1021008890",0.6425000000000001,0.47916666666666674,0.71,0.5983333333333334,2,0,131,198,"Homme",31,"Libye","Tchad","No","No","No","No","No","No","KND"
"LY102100895",0.6775,0.4358333333333333,0.815,0.6941666666666668,1,0,0,0,"Homme",30,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"LY1021009002",0.5475,0.4691666666666667,0.8525,0.6158333333333333,0,5,195,174,"Femme",23,"Libye","Autre","Yes","Yes","No","No","No","No","KND"
"LY1021009010",0.51,0.35,0.76,0.5400000000000001,4,5,106,245,"Femme",27,"Libye","Autre","No","Yes","No","No","No","No","KND"
"LY1021009043",0.6525,0.5975,0.9449999999999998,0.7475000000000002,4,1,199,133,"Homme",32,"Libye","Niger","No","Yes","No","No","No","No","KND"
